"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",59,1185956727,20100961.474576,99.97,7371,983430166,128882224.277919
"KERNEL_DISPATCH",51,243685,4778.137255,0.0205,4607,7611,413.328297
"MEMORY_COPY",2,163363,81681.500000,0.0138,81561,81802,170.412734
